Step Number	Step Value	Step Duration	Input	Ramp	Trigger Out	Pause
1	10	10	1	0	1	0
2	5	20	1	1	1	0
3	15	5	1	0	1	0
4	25	65	1	1	1	0
5	15	100	1	0	1	0
6	30	30	1	1	1	0
7	6	5	0	1	1	0
8	2	6	1	1	1	0
9	8	1	0	1	1	0
10	6	12	1	0	1	0
11	2	10	0	0	1	0
12	10	20	1	0	1	0
13	5	5	1	0	1	0
14	15	65	1	0	1	0
15	25	100	1	0	1	0
16	15	30	0	0	1	0
17	30	5	1	0	1	0
18	6	10	0	1	1	0
19	2	20	1	1	1	0
20	8	5	0	0	1	0
21	6	65	1	0	1	0
22	2	100	0	1	1	0
23	52	30	1	0	1	0
24	64	5	1	1	1	0
25	22	42	1	0	1	0
26	5	66	1	1	1	0
27	25	52	0	0	1	0
28	35	22	1	1	1	0
29	33	55	0	0	1	0
30	5.5	10	0	1	1	0
